Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6;Trq1;Trq2;Trq3;Trq4;Trq5;Trq6
759061;0;-45.909042;-55.997608;58.358349;1.538457;86.549942;-143.840866;-5.568500;24.450300;-18.547600;7.293212;-2.470013;0.014300;175.250000;-769.500000;-412.000000;-39.176666;-13.141724;-0.027750
759085;0;-47.085045;-54.319401;56.738277;1.100765;86.383568;-143.841339;-14.160154;31.641006;-15.295571;4.506100;-3.476138;0.064362;445.625000;-995.875000;-339.750000;-24.150000;-18.459183;-0.111000
759109;0;-47.893963;-53.189735;55.654629;0.805176;86.253700;-143.846466;-17.584801;32.880779;-10.137557;6.008137;-0.996588;0.104900;553.375000;-1034.875000;-225.250000;-32.276669;-5.241497;-0.194250
759133;0;-48.385735;-52.548153;55.091007;0.630974;86.125198;-143.864090;-14.760969;32.141685;-5.617136;5.786413;-1.602162;0.538825;464.500000;-1011.625000;-124.750000;-31.049999;-8.507936;-1.026750
759157;0;-48.651794;-52.282936;54.968651;0.546267;85.961784;-143.901657;-9.985920;29.186245;-1.630779;3.051750;-4.506100;2.083775;314.250000;-918.625000;-36.125000;-16.330000;-23.928572;-4.051500
759181;0;-48.790623;-52.279202;55.192017;0.519147;85.728409;-143.965759;-1.719470;28.354639;5.608964;3.619187;-5.958075;3.976813;54.000000;-892.375000;124.625000;-19.396667;-31.676870;-7.714500
759205;0;-48.886295;-52.425892;55.676899;0.518314;85.396049;-144.061829;4.529950;24.440765;7.731572;3.535738;-8.842937;4.911413;-142.500000;-769.250000;171.750000;-18.936666;-47.021542;-9.546000
759229;0;-48.999325;-52.635719;56.339844;0.521741;84.957443;-144.190659;9.046550;23.429871;8.192058;2.317425;-9.574887;5.149837;-284.625000;-737.375000;182.000000;-12.420000;-50.971657;-9.990000
759253;0;-49.153275;-52.884411;57.134666;0.525870;84.414948;-144.351700;10.513305;21.289825;12.157979;0.345700;-9.744163;5.779263;-330.875000;-670.000000;270.125000;-1.840000;-51.807255;-11.238750
759277;0;-49.341026;-53.172619;58.069366;0.530901;83.770134;-144.545807;10.416980;23.251530;12.344628;-1.225462;-11.093613;5.440700;-327.750000;-731.750000;274.250000;6.516667;-59.023811;-10.572750
759301;0;-49.561432;-53.496166;59.139603;0.536889;83.025528;-144.773773;11.789320;25.126453;13.711107;-2.229213;-8.900163;4.858963;-371.000000;-790.750000;304.625000;11.960000;-47.325397;-9.435000
759325;0;-49.815178;-53.849659;60.336853;0.543890;82.184196;-145.036270;13.138769;24.626730;14.062607;-2.269737;-10.666838;4.529950;-413.500000;-775.125000;312.375000;12.190000;-56.744900;-8.796750
759349;0;-50.102997;-54.227272;61.652225;0.551966;81.249214;-145.334091;13.738630;22.861481;16.434528;-3.290175;-12.459750;5.738725;-432.375000;-719.500000;365.125000;17.633333;-66.316330;-11.155500
759373;0;-50.425709;-54.622799;63.076500;0.561192;80.223633;-145.668106;14.301300;21.930691;16.482214;-3.805150;-12.614725;4.830350;-450.125000;-690.250000;366.125000;20.393333;-67.151924;-9.379500
759397;0;-50.784248;-55.029728;64.600266;0.571652;79.110352;-146.039322;14.912605;22.991180;16.749243;-4.398812;-14.359949;4.956713;-469.250000;-723.625000;372.125000;23.613333;-76.419502;-9.629250
759421;0;-51.179649;-55.441261;66.214050;0.583442;77.912102;-146.448883;15.809054;23.025509;17.134800;-4.446500;-13.661376;5.581375;-497.500000;-724.625000;380.625000;23.843334;-72.697281;-10.850250
759445;0;-51.613049;-55.850338;67.908356;0.596672;76.631317;-146.898056;15.930174;21.973606;17.862314;-4.804125;-15.575875;5.393025;-501.375000;-691.500000;396.875000;25.760000;-82.876419;-10.461750
759469;0;-52.085705;-56.249653;69.673752;0.611470;75.270187;-147.388199;16.603466;21.110531;17.281937;-4.680150;-15.478126;5.359637;-522.500000;-664.375000;384.000000;25.070000;-82.344673;-10.406250
759493;0;-52.598984;-56.631634;71.500847;0.627980;73.830544;-147.920868;17.971989;19.877430;19.508085;-4.332063;-14.679424;6.201262;-565.625000;-625.625000;433.375000;23.230000;-78.090706;-12.043500
